report_id,case_id,title,filename,source_type,filing_date,officer
RPT001,C001,Intelligence Report for Case 1,INTELLIGENCE_C001.txt,Intelligence,2026-01-11,Officer 15
RPT002,C002,FIR Report for Case 2,FIR_C002.txt,FIR,2026-02-04,Officer 09
RPT003,C003,Intelligence Report for Case 3,INTELLIGENCE_C003.txt,Intelligence,2026-08-15,Officer 22
RPT004,C004,Intelligence Report for Case 4,INTELLIGENCE_C004.txt,Intelligence,2026-04-04,Officer 22
RPT005,C005,Financial Report for Case 5,FINANCIAL_C005.txt,Financial,2026-08-02,Officer 14
RPT006,C006,Intelligence Report for Case 6,INTELLIGENCE_C006.txt,Intelligence,2026-01-18,Officer 22
RPT007,C007,Intelligence Report for Case 7,INTELLIGENCE_C007.txt,Intelligence,2026-07-27,Officer 09
RPT008,C008,FIR Report for Case 8,FIR_C008.txt,FIR,2026-03-20,Officer 05
RPT009,C009,Surveillance Report for Case 9,SURVEILLANCE_C009.txt,Surveillance,2026-08-18,Officer 01
RPT010,C010,Financial Report for Case 10,FINANCIAL_C010.txt,Financial,2026-08-15,Officer 23
RPT011,C011,Surveillance Report for Case 11,SURVEILLANCE_C011.txt,Surveillance,2026-04-15,Officer 09
RPT012,C012,Financial Report for Case 12,FINANCIAL_C012.txt,Financial,2026-07-17,Officer 20
RPT013,C013,Intelligence Report for Case 13,INTELLIGENCE_C013.txt,Intelligence,2026-07-06,Officer 18
RPT014,C014,Intelligence Report for Case 14,INTELLIGENCE_C014.txt,Intelligence,2026-03-23,Officer 09
RPT015,C015,Surveillance Report for Case 15,SURVEILLANCE_C015.txt,Surveillance,2026-01-19,Officer 01
RPT016,C016,Intelligence Report for Case 16,INTELLIGENCE_C016.txt,Intelligence,2026-06-09,Officer 03
RPT017,C017,Intelligence Report for Case 17,INTELLIGENCE_C017.txt,Intelligence,2026-06-01,Officer 11
RPT018,C018,FIR Report for Case 18,FIR_C018.txt,FIR,2026-04-13,Officer 07
RPT019,C019,Intelligence Report for Case 19,INTELLIGENCE_C019.txt,Intelligence,2026-02-03,Officer 05
RPT020,C020,Financial Report for Case 20,FINANCIAL_C020.txt,Financial,2026-08-25,Officer 13
RPT021,C021,FIR Report for Case 21,FIR_C021.txt,FIR,2026-01-18,Officer 09
RPT022,C022,Surveillance Report for Case 22,SURVEILLANCE_C022.txt,Surveillance,2026-03-10,Officer 18
RPT023,C023,Intelligence Report for Case 23,INTELLIGENCE_C023.txt,Intelligence,2026-02-21,Officer 10
RPT024,C024,Surveillance Report for Case 24,SURVEILLANCE_C024.txt,Surveillance,2026-02-14,Officer 15
RPT025,C025,Financial Report for Case 25,FINANCIAL_C025.txt,Financial,2026-05-22,Officer 02
RPT026,C026,Surveillance Report for Case 26,SURVEILLANCE_C026.txt,Surveillance,2026-04-22,Officer 22
RPT027,C027,FIR Report for Case 27,FIR_C027.txt,FIR,2026-07-21,Officer 12
RPT028,C028,Surveillance Report for Case 28,SURVEILLANCE_C028.txt,Surveillance,2026-02-26,Officer 16
RPT029,C029,Surveillance Report for Case 29,SURVEILLANCE_C029.txt,Surveillance,2026-02-12,Officer 04
RPT030,C030,FIR Report for Case 30,FIR_C030.txt,FIR,2026-02-23,Officer 17
RPT031,C031,Surveillance Report for Case 31,SURVEILLANCE_C031.txt,Surveillance,2026-01-01,Officer 13
RPT032,C032,Financial Report for Case 32,FINANCIAL_C032.txt,Financial,2026-01-10,Officer 15
RPT033,C033,Intelligence Report for Case 33,INTELLIGENCE_C033.txt,Intelligence,2026-05-10,Officer 24
RPT034,C034,Financial Report for Case 34,FINANCIAL_C034.txt,Financial,2026-06-22,Officer 02
RPT035,C035,FIR Report for Case 35,FIR_C035.txt,FIR,2026-02-20,Officer 11
RPT036,C036,Surveillance Report for Case 36,SURVEILLANCE_C036.txt,Surveillance,2026-05-05,Officer 20
RPT037,C037,Intelligence Report for Case 37,INTELLIGENCE_C037.txt,Intelligence,2026-02-28,Officer 18
RPT038,C038,FIR Report for Case 38,FIR_C038.txt,FIR,2026-03-14,Officer 20
RPT039,C039,FIR Report for Case 39,FIR_C039.txt,FIR,2026-07-22,Officer 01
RPT040,C040,FIR Report for Case 40,FIR_C040.txt,FIR,2026-07-27,Officer 21
RPT041,C041,FIR Report for Case 41,FIR_C041.txt,FIR,2026-05-28,Officer 10
RPT042,C042,FIR Report for Case 42,FIR_C042.txt,FIR,2026-07-28,Officer 14
RPT043,C043,Intelligence Report for Case 43,INTELLIGENCE_C043.txt,Intelligence,2026-02-16,Officer 04
RPT044,C044,Intelligence Report for Case 44,INTELLIGENCE_C044.txt,Intelligence,2026-03-27,Officer 22
RPT045,C045,Financial Report for Case 45,FINANCIAL_C045.txt,Financial,2026-01-14,Officer 06
RPT046,C046,Intelligence Report for Case 46,INTELLIGENCE_C046.txt,Intelligence,2026-01-11,Officer 02
RPT047,C047,Financial Report for Case 47,FINANCIAL_C047.txt,Financial,2026-03-09,Officer 18
RPT048,C048,FIR Report for Case 48,FIR_C048.txt,FIR,2026-08-16,Officer 09
RPT049,C049,Financial Report for Case 49,FINANCIAL_C049.txt,Financial,2026-08-06,Officer 23
RPT050,C050,Financial Report for Case 50,FINANCIAL_C050.txt,Financial,2026-01-08,Officer 01
RPT051,C051,FIR Report for Case 51,FIR_C051.txt,FIR,2026-02-12,Officer 07
RPT052,C052,FIR Report for Case 52,FIR_C052.txt,FIR,2026-07-03,Officer 24
RPT053,C053,Intelligence Report for Case 53,INTELLIGENCE_C053.txt,Intelligence,2026-07-06,Officer 12
RPT054,C054,Surveillance Report for Case 54,SURVEILLANCE_C054.txt,Surveillance,2026-05-20,Officer 22
RPT055,C055,Financial Report for Case 55,FINANCIAL_C055.txt,Financial,2026-08-14,Officer 21
