tx_id,source_id,target_id,amount,currency,timestamp,channel,reference_no,flagged_anomaly
TX0001,P427,P004,490823,INR,2026-04-03 19:55:00,NEFT,REF00000001,TRUE
TX0002,P220,P063,698953,INR,2026-02-24 08:05:00,NEFT,REF00000002,TRUE
TX0003,P256,P158,220326,INR,2026-04-10 18:43:00,Bank Transfer,REF00000003,TRUE
TX0004,P452,P120,808261,INR,2026-01-24 03:02:00,NEFT,REF00000004,TRUE
TX0005,P310,P258,674885,INR,2026-06-21 04:01:00,Bank Transfer,REF00000005,TRUE
TX0006,P133,P352,749736,INR,2026-03-04 15:10:00,UPI,REF00000006,TRUE
TX0007,P105,P366,379431,INR,2026-07-29 19:16:00,Bank Transfer,REF00000007,TRUE
TX0008,P403,P013,164993,INR,2026-06-17 20:30:00,UPI,REF00000008,TRUE
TX0009,P339,P357,157047,INR,2026-04-16 09:24:00,NEFT,REF00000009,TRUE
TX0010,P473,P400,518161,INR,2026-06-02 21:13:00,IMPS,REF00000010,TRUE
TX0011,P037,P187,849142,INR,2026-04-07 19:37:00,UPI,REF00000011,TRUE
TX0012,P333,P357,548323,INR,2026-05-23 05:00:00,UPI,REF00000012,TRUE
TX0013,P281,P302,391878,INR,2026-07-29 23:32:00,UPI,REF00000013,TRUE
TX0014,P352,P420,475180,INR,2026-05-15 22:12:00,IMPS,REF00000014,TRUE
TX0015,P472,P403,849779,INR,2026-06-13 21:12:00,IMPS,REF00000015,TRUE
TX0016,P369,P222,553562,INR,2026-05-26 22:51:00,NEFT,REF00000016,TRUE
TX0017,P024,P288,519925,INR,2026-02-15 18:34:00,UPI,REF00000017,TRUE
TX0018,P476,P176,821886,INR,2026-02-20 20:31:00,IMPS,REF00000018,TRUE
TX0019,P475,P095,224039,INR,2026-06-28 18:31:00,NEFT,REF00000019,TRUE
TX0020,P320,P276,694638,INR,2026-06-30 06:19:00,Bank Transfer,REF00000020,TRUE
TX0021,P250,P074,640754,INR,2026-05-12 06:54:00,NEFT,REF00000021,TRUE
TX0022,P086,P003,602067,INR,2026-01-29 00:52:00,NEFT,REF00000022,TRUE
TX0023,P456,P311,328433,INR,2026-08-05 14:25:00,IMPS,REF00000023,TRUE
TX0024,P331,P270,602769,INR,2026-04-11 08:29:00,UPI,REF00000024,TRUE
TX0025,P072,P157,585039,INR,2026-06-07 05:03:00,Bank Transfer,REF00000025,TRUE
TX0026,P084,P410,241981,INR,2026-04-04 13:12:00,Bank Transfer,REF00000026,TRUE
TX0027,P279,P357,349143,INR,2026-07-26 07:38:00,Bank Transfer,REF00000027,TRUE
TX0028,P460,P041,263764,INR,2026-02-10 19:00:00,NEFT,REF00000028,TRUE
TX0029,P182,P129,676141,INR,2026-07-13 14:44:00,NEFT,REF00000029,TRUE
TX0030,P164,P191,289911,INR,2026-04-16 10:07:00,NEFT,REF00000030,TRUE
TX0031,P054,P176,228454,INR,2026-04-11 15:55:00,Bank Transfer,REF00000031,TRUE
TX0032,P480,P130,513270,INR,2026-06-15 14:18:00,Bank Transfer,REF00000032,TRUE
TX0033,P491,P293,722739,INR,2026-03-14 17:10:00,IMPS,REF00000033,TRUE
TX0034,P337,P124,494120,INR,2026-05-08 02:27:00,IMPS,REF00000034,TRUE
TX0035,P222,P499,409462,INR,2026-03-16 00:45:00,NEFT,REF00000035,TRUE
TX0036,P276,P224,846563,INR,2026-04-02 03:28:00,UPI,REF00000036,TRUE
TX0037,P473,P073,492906,INR,2026-05-21 22:18:00,UPI,REF00000037,TRUE
TX0038,P315,P384,761481,INR,2026-02-10 08:32:00,IMPS,REF00000038,TRUE
TX0039,P479,P309,471408,INR,2026-06-21 07:31:00,IMPS,REF00000039,TRUE
TX0040,P304,P101,562440,INR,2026-07-15 09:35:00,NEFT,REF00000040,TRUE
TX0041,P071,P221,17710,INR,2026-05-12 18:13:00,UPI,REF00000041,FALSE
TX0042,P249,P495,19828,INR,2026-06-16 14:20:00,Bank Transfer,REF00000042,FALSE
TX0043,P223,P247,19000,INR,2026-08-09 17:04:00,UPI,REF00000043,FALSE
TX0044,P047,P417,628,INR,2026-02-17 17:42:00,IMPS,REF00000044,FALSE
TX0045,P417,P040,20380,INR,2026-01-22 03:55:00,NEFT,REF00000045,FALSE
TX0046,P439,P369,24787,INR,2026-02-16 07:33:00,UPI,REF00000046,FALSE
TX0047,P097,P277,22140,INR,2026-06-15 08:49:00,Bank Transfer,REF00000047,FALSE
TX0048,P052,P469,4714,INR,2026-02-15 05:16:00,NEFT,REF00000048,FALSE
TX0049,P327,P039,19247,INR,2026-01-16 02:19:00,NEFT,REF00000049,FALSE
TX0050,P461,P181,24453,INR,2026-05-20 08:00:00,Bank Transfer,REF00000050,FALSE
TX0051,P424,P157,24195,INR,2026-04-09 13:04:00,IMPS,REF00000051,FALSE
TX0052,P353,P094,5431,INR,2026-01-13 23:31:00,UPI,REF00000052,FALSE
TX0053,P201,P173,14427,INR,2026-05-29 13:27:00,Bank Transfer,REF00000053,FALSE
TX0054,P324,P406,8227,INR,2026-08-08 01:05:00,Bank Transfer,REF00000054,FALSE
TX0055,P348,P181,1695,INR,2026-07-10 00:38:00,Bank Transfer,REF00000055,FALSE
TX0056,P148,P097,24479,INR,2026-02-17 20:51:00,IMPS,REF00000056,FALSE
TX0057,P066,P166,8383,INR,2026-07-16 01:08:00,UPI,REF00000057,FALSE
TX0058,P489,P142,974,INR,2026-03-27 13:36:00,UPI,REF00000058,FALSE
TX0059,P330,P254,10785,INR,2026-04-25 02:15:00,NEFT,REF00000059,FALSE
TX0060,P034,P345,9467,INR,2026-02-28 02:49:00,UPI,REF00000060,FALSE
TX0061,P073,P453,9776,INR,2026-07-12 16:23:00,NEFT,REF00000061,FALSE
TX0062,P098,P386,11854,INR,2026-01-18 22:31:00,IMPS,REF00000062,FALSE
TX0063,P144,P189,974,INR,2026-08-07 13:03:00,Bank Transfer,REF00000063,FALSE
TX0064,P378,P444,8585,INR,2026-03-09 00:39:00,UPI,REF00000064,FALSE
TX0065,P438,P300,21460,INR,2026-07-25 17:05:00,IMPS,REF00000065,FALSE
TX0066,P013,P072,9183,INR,2026-04-09 05:48:00,UPI,REF00000066,FALSE
TX0067,P155,P476,7126,INR,2026-02-01 07:49:00,UPI,REF00000067,FALSE
TX0068,P465,P318,894,INR,2026-06-20 09:56:00,IMPS,REF00000068,FALSE
TX0069,P050,P343,18760,INR,2026-03-05 07:28:00,Bank Transfer,REF00000069,FALSE
TX0070,P347,P169,23522,INR,2026-03-29 22:29:00,Bank Transfer,REF00000070,FALSE
TX0071,P388,P446,16522,INR,2026-06-22 20:07:00,Bank Transfer,REF00000071,FALSE
TX0072,P251,P224,12119,INR,2026-05-05 22:28:00,NEFT,REF00000072,FALSE
TX0073,P226,P204,2625,INR,2026-06-09 07:33:00,Bank Transfer,REF00000073,FALSE
TX0074,P228,P183,16091,INR,2026-03-24 00:11:00,NEFT,REF00000074,FALSE
TX0075,P165,P159,18765,INR,2026-02-08 20:42:00,NEFT,REF00000075,FALSE
TX0076,P240,P481,3689,INR,2026-03-07 10:27:00,IMPS,REF00000076,FALSE
TX0077,P209,P220,3965,INR,2026-05-04 15:20:00,Bank Transfer,REF00000077,FALSE
TX0078,P298,P112,19410,INR,2026-02-16 10:26:00,NEFT,REF00000078,FALSE
TX0079,P092,P237,23693,INR,2026-01-19 13:40:00,Bank Transfer,REF00000079,FALSE
TX0080,P493,P036,11829,INR,2026-01-22 10:24:00,UPI,REF00000080,FALSE
TX0081,P107,P453,8845,INR,2026-03-23 00:57:00,Bank Transfer,REF00000081,FALSE
TX0082,P292,P026,14808,INR,2026-02-27 09:06:00,IMPS,REF00000082,FALSE
TX0083,P317,P438,24776,INR,2026-07-16 11:02:00,NEFT,REF00000083,FALSE
TX0084,P259,P093,9937,INR,2026-06-12 13:15:00,IMPS,REF00000084,FALSE
TX0085,P097,P111,23596,INR,2026-07-25 16:47:00,UPI,REF00000085,FALSE
TX0086,P426,P068,20259,INR,2026-08-08 18:58:00,UPI,REF00000086,FALSE
TX0087,P114,P231,4167,INR,2026-08-07 15:22:00,UPI,REF00000087,FALSE
TX0088,P076,P227,11858,INR,2026-08-07 06:06:00,Bank Transfer,REF00000088,FALSE
TX0089,P291,P357,12382,INR,2026-04-25 17:01:00,IMPS,REF00000089,FALSE
TX0090,P342,P472,3368,INR,2026-04-15 19:02:00,Bank Transfer,REF00000090,FALSE
TX0091,P044,P405,24728,INR,2026-02-02 14:41:00,IMPS,REF00000091,FALSE
TX0092,P482,P345,6626,INR,2026-03-06 13:03:00,UPI,REF00000092,FALSE
TX0093,P427,P475,23640,INR,2026-05-23 13:49:00,NEFT,REF00000093,FALSE
TX0094,P307,P046,2002,INR,2026-01-02 09:41:00,NEFT,REF00000094,FALSE
TX0095,P428,P129,6712,INR,2026-05-24 09:43:00,NEFT,REF00000095,FALSE
TX0096,P449,P111,13354,INR,2026-04-08 05:28:00,NEFT,REF00000096,FALSE
TX0097,P129,P108,5754,INR,2026-07-25 03:18:00,IMPS,REF00000097,FALSE
TX0098,P302,P048,8786,INR,2026-02-23 15:36:00,Bank Transfer,REF00000098,FALSE
TX0099,P354,P390,23684,INR,2026-01-03 17:08:00,UPI,REF00000099,FALSE
TX0100,P238,P323,5423,INR,2026-03-02 03:06:00,IMPS,REF00000100,FALSE
TX0101,P204,P368,16891,INR,2026-03-29 00:12:00,NEFT,REF00000101,FALSE
TX0102,P081,P237,17166,INR,2026-01-18 02:19:00,IMPS,REF00000102,FALSE
TX0103,P472,P280,10972,INR,2026-06-25 15:18:00,UPI,REF00000103,FALSE
TX0104,P029,P309,7653,INR,2026-03-10 13:52:00,NEFT,REF00000104,FALSE
TX0105,P112,P021,967,INR,2026-01-16 20:57:00,UPI,REF00000105,FALSE
TX0106,P461,P031,22310,INR,2026-06-04 00:11:00,Bank Transfer,REF00000106,FALSE
TX0107,P325,P500,5104,INR,2026-05-05 13:22:00,IMPS,REF00000107,FALSE
TX0108,P331,P491,16092,INR,2026-06-12 08:43:00,NEFT,REF00000108,FALSE
TX0109,P146,P207,12613,INR,2026-07-20 19:19:00,IMPS,REF00000109,FALSE
TX0110,P062,P246,5929,INR,2026-07-21 05:54:00,NEFT,REF00000110,FALSE
TX0111,P494,P237,21937,INR,2026-01-11 03:00:00,Bank Transfer,REF00000111,FALSE
TX0112,P149,P141,14300,INR,2026-03-20 20:39:00,Bank Transfer,REF00000112,FALSE
TX0113,P095,P365,9905,INR,2026-05-18 19:44:00,NEFT,REF00000113,FALSE
TX0114,P333,P404,22459,INR,2026-05-31 09:48:00,NEFT,REF00000114,FALSE
TX0115,P481,P422,2631,INR,2026-05-02 16:09:00,NEFT,REF00000115,FALSE
TX0116,P384,P211,24579,INR,2026-03-15 01:42:00,NEFT,REF00000116,FALSE
TX0117,P062,P239,10743,INR,2026-06-30 06:04:00,Bank Transfer,REF00000117,FALSE
TX0118,P161,P499,2727,INR,2026-07-07 09:17:00,NEFT,REF00000118,FALSE
TX0119,P056,P404,24390,INR,2026-07-01 22:25:00,IMPS,REF00000119,FALSE
TX0120,P292,P346,13168,INR,2026-05-11 16:46:00,NEFT,REF00000120,FALSE
TX0121,P468,P297,13882,INR,2026-04-30 03:11:00,IMPS,REF00000121,FALSE
TX0122,P007,P022,21490,INR,2026-03-25 06:06:00,Bank Transfer,REF00000122,FALSE
TX0123,P230,P381,10814,INR,2026-02-25 20:50:00,Bank Transfer,REF00000123,FALSE
TX0124,P292,P432,13448,INR,2026-04-10 01:11:00,NEFT,REF00000124,FALSE
TX0125,P327,P072,3392,INR,2026-01-04 04:03:00,Bank Transfer,REF00000125,FALSE
TX0126,P095,P498,4690,INR,2026-04-29 17:13:00,UPI,REF00000126,FALSE
TX0127,P375,P136,11592,INR,2026-05-09 13:40:00,IMPS,REF00000127,FALSE
TX0128,P470,P301,21271,INR,2026-05-15 01:57:00,Bank Transfer,REF00000128,FALSE
TX0129,P233,P329,4774,INR,2026-03-25 16:28:00,IMPS,REF00000129,FALSE
TX0130,P204,P212,1976,INR,2026-04-10 09:38:00,UPI,REF00000130,FALSE
TX0131,P146,P074,14578,INR,2026-04-22 17:36:00,Bank Transfer,REF00000131,FALSE
TX0132,P030,P095,20777,INR,2026-06-21 19:12:00,UPI,REF00000132,FALSE
TX0133,P280,P040,7731,INR,2026-06-27 04:45:00,Bank Transfer,REF00000133,FALSE
TX0134,P092,P303,18835,INR,2026-02-21 23:18:00,UPI,REF00000134,FALSE
TX0135,P009,P318,7063,INR,2026-05-12 16:36:00,Bank Transfer,REF00000135,FALSE
TX0136,P160,P457,22493,INR,2026-03-11 05:55:00,Bank Transfer,REF00000136,FALSE
TX0137,P086,P311,21404,INR,2026-05-15 10:49:00,UPI,REF00000137,FALSE
TX0138,P045,P367,22576,INR,2026-04-22 06:28:00,IMPS,REF00000138,FALSE
TX0139,P460,P069,18751,INR,2026-04-05 18:32:00,UPI,REF00000139,FALSE
TX0140,P236,P413,14672,INR,2026-08-04 09:53:00,NEFT,REF00000140,FALSE
TX0141,P102,P309,2283,INR,2026-07-18 17:00:00,IMPS,REF00000141,FALSE
TX0142,P276,P479,7460,INR,2026-04-18 01:31:00,IMPS,REF00000142,FALSE
TX0143,P207,P235,23012,INR,2026-08-16 01:59:00,UPI,REF00000143,FALSE
TX0144,P026,P487,14862,INR,2026-07-04 03:34:00,Bank Transfer,REF00000144,FALSE
TX0145,P160,P156,13582,INR,2026-06-06 21:37:00,IMPS,REF00000145,FALSE
TX0146,P194,P312,10612,INR,2026-07-24 14:54:00,Bank Transfer,REF00000146,FALSE
TX0147,P221,P476,22922,INR,2026-01-02 18:35:00,NEFT,REF00000147,FALSE
TX0148,P108,P266,13884,INR,2026-07-04 01:38:00,Bank Transfer,REF00000148,FALSE
TX0149,P450,P350,24859,INR,2026-05-10 14:36:00,UPI,REF00000149,FALSE
TX0150,P272,P168,11490,INR,2026-07-30 21:50:00,Bank Transfer,REF00000150,FALSE
TX0151,P172,P404,21249,INR,2026-06-05 12:42:00,Bank Transfer,REF00000151,FALSE
TX0152,P293,P245,6541,INR,2026-05-18 06:18:00,IMPS,REF00000152,FALSE
TX0153,P290,P385,5295,INR,2026-03-18 17:15:00,Bank Transfer,REF00000153,FALSE
TX0154,P168,P230,24565,INR,2026-02-27 19:57:00,IMPS,REF00000154,FALSE
TX0155,P126,P324,10467,INR,2026-05-31 07:42:00,Bank Transfer,REF00000155,FALSE
TX0156,P243,P493,2297,INR,2026-04-09 11:30:00,IMPS,REF00000156,FALSE
TX0157,P091,P099,22519,INR,2026-03-29 17:34:00,NEFT,REF00000157,FALSE
TX0158,P327,P129,14604,INR,2026-06-01 12:42:00,IMPS,REF00000158,FALSE
TX0159,P054,P024,12081,INR,2026-02-06 10:57:00,NEFT,REF00000159,FALSE
TX0160,P307,P374,24867,INR,2026-05-21 15:50:00,UPI,REF00000160,FALSE
TX0161,P280,P025,12900,INR,2026-07-06 20:25:00,IMPS,REF00000161,FALSE
TX0162,P087,P258,18486,INR,2026-05-21 13:54:00,IMPS,REF00000162,FALSE
TX0163,P483,P316,6051,INR,2026-04-09 23:21:00,NEFT,REF00000163,FALSE
TX0164,P310,P458,8849,INR,2026-01-07 22:04:00,Bank Transfer,REF00000164,FALSE
TX0165,P349,P479,21799,INR,2026-08-15 17:15:00,NEFT,REF00000165,FALSE
TX0166,P043,P267,14499,INR,2026-08-15 07:28:00,NEFT,REF00000166,FALSE
TX0167,P214,P410,3340,INR,2026-03-25 13:49:00,NEFT,REF00000167,FALSE
TX0168,P140,P025,18897,INR,2026-07-16 16:37:00,Bank Transfer,REF00000168,FALSE
TX0169,P357,P336,8211,INR,2026-02-06 22:53:00,Bank Transfer,REF00000169,FALSE
TX0170,P279,P015,4474,INR,2026-05-24 19:55:00,Bank Transfer,REF00000170,FALSE
TX0171,P138,P241,14289,INR,2026-08-02 05:11:00,UPI,REF00000171,FALSE
TX0172,P412,P070,21648,INR,2026-03-16 02:07:00,IMPS,REF00000172,FALSE
TX0173,P495,P253,20241,INR,2026-04-01 04:27:00,UPI,REF00000173,FALSE
TX0174,P047,P398,22567,INR,2026-02-27 10:27:00,Bank Transfer,REF00000174,FALSE
TX0175,P477,P410,1411,INR,2026-01-28 22:54:00,IMPS,REF00000175,FALSE
TX0176,P111,P050,16922,INR,2026-05-14 15:27:00,Bank Transfer,REF00000176,FALSE
TX0177,P016,P004,21051,INR,2026-02-25 19:27:00,Bank Transfer,REF00000177,FALSE
TX0178,P297,P051,12421,INR,2026-02-25 07:20:00,Bank Transfer,REF00000178,FALSE
TX0179,P038,P476,6884,INR,2026-03-30 05:49:00,IMPS,REF00000179,FALSE
TX0180,P327,P390,22970,INR,2026-03-20 22:52:00,UPI,REF00000180,FALSE
TX0181,P150,P394,659,INR,2026-08-05 03:22:00,Bank Transfer,REF00000181,FALSE
TX0182,P041,P086,16393,INR,2026-01-17 13:35:00,Bank Transfer,REF00000182,FALSE
TX0183,P126,P063,18498,INR,2026-08-05 13:28:00,IMPS,REF00000183,FALSE
TX0184,P248,P096,1645,INR,2026-02-10 22:08:00,Bank Transfer,REF00000184,FALSE
TX0185,P319,P179,20304,INR,2026-01-07 14:45:00,Bank Transfer,REF00000185,FALSE
TX0186,P051,P340,15458,INR,2026-06-26 22:21:00,NEFT,REF00000186,FALSE
TX0187,P205,P463,19351,INR,2026-01-06 00:04:00,UPI,REF00000187,FALSE
TX0188,P358,P003,23118,INR,2026-02-08 07:14:00,UPI,REF00000188,FALSE
TX0189,P488,P238,12827,INR,2026-05-05 19:01:00,Bank Transfer,REF00000189,FALSE
TX0190,P421,P388,6207,INR,2026-04-18 01:14:00,NEFT,REF00000190,FALSE
TX0191,P272,P123,8927,INR,2026-03-21 15:11:00,IMPS,REF00000191,FALSE
TX0192,P059,P191,2883,INR,2026-04-24 19:40:00,NEFT,REF00000192,FALSE
TX0193,P369,P253,10476,INR,2026-06-08 12:15:00,UPI,REF00000193,FALSE
TX0194,P059,P239,21024,INR,2026-01-22 07:54:00,IMPS,REF00000194,FALSE
TX0195,P006,P069,16314,INR,2026-02-21 04:51:00,Bank Transfer,REF00000195,FALSE
TX0196,P464,P017,8839,INR,2026-01-20 09:07:00,UPI,REF00000196,FALSE
TX0197,P320,P122,22021,INR,2026-07-09 04:59:00,UPI,REF00000197,FALSE
TX0198,P441,P446,18368,INR,2026-03-15 14:01:00,NEFT,REF00000198,FALSE
TX0199,P322,P366,19108,INR,2026-02-11 12:25:00,Bank Transfer,REF00000199,FALSE
TX0200,P429,P105,5996,INR,2026-02-11 05:38:00,IMPS,REF00000200,FALSE
TX0201,P342,P349,913,INR,2026-01-10 02:30:00,NEFT,REF00000201,FALSE
TX0202,P441,P308,23771,INR,2026-03-20 04:01:00,Bank Transfer,REF00000202,FALSE
TX0203,P136,P358,2992,INR,2026-07-18 22:22:00,Bank Transfer,REF00000203,FALSE
TX0204,P072,P350,24618,INR,2026-05-08 12:59:00,Bank Transfer,REF00000204,FALSE
TX0205,P365,P231,13095,INR,2026-02-28 07:39:00,NEFT,REF00000205,FALSE
TX0206,P076,P336,1906,INR,2026-03-01 17:16:00,UPI,REF00000206,FALSE
TX0207,P113,P058,3735,INR,2026-06-08 23:31:00,IMPS,REF00000207,FALSE
TX0208,P289,P178,24274,INR,2026-04-16 15:13:00,Bank Transfer,REF00000208,FALSE
TX0209,P271,P489,24915,INR,2026-03-20 07:37:00,Bank Transfer,REF00000209,FALSE
TX0210,P456,P198,16690,INR,2026-01-10 16:11:00,UPI,REF00000210,FALSE
TX0211,P384,P388,3234,INR,2026-05-26 23:02:00,IMPS,REF00000211,FALSE
TX0212,P259,P057,4200,INR,2026-06-07 15:40:00,IMPS,REF00000212,FALSE
TX0213,P407,P425,24812,INR,2026-07-15 12:31:00,IMPS,REF00000213,FALSE
TX0214,P378,P070,20088,INR,2026-01-03 13:41:00,Bank Transfer,REF00000214,FALSE
TX0215,P164,P050,11414,INR,2026-03-10 17:46:00,IMPS,REF00000215,FALSE
TX0216,P448,P132,6047,INR,2026-06-07 09:35:00,IMPS,REF00000216,FALSE
TX0217,P120,P400,1015,INR,2026-03-04 03:00:00,Bank Transfer,REF00000217,FALSE
TX0218,P021,P315,19288,INR,2026-04-19 19:32:00,UPI,REF00000218,FALSE
TX0219,P248,P352,11575,INR,2026-03-17 23:47:00,UPI,REF00000219,FALSE
TX0220,P145,P485,22576,INR,2026-01-05 08:12:00,NEFT,REF00000220,FALSE
TX0221,P406,P102,3042,INR,2026-08-10 11:42:00,NEFT,REF00000221,FALSE
TX0222,P400,P039,2487,INR,2026-05-05 18:42:00,UPI,REF00000222,FALSE
TX0223,P230,P166,10976,INR,2026-01-01 22:58:00,NEFT,REF00000223,FALSE
TX0224,P257,P164,5867,INR,2026-07-19 10:17:00,NEFT,REF00000224,FALSE
TX0225,P212,P476,16536,INR,2026-06-12 14:17:00,UPI,REF00000225,FALSE
TX0226,P120,P401,16771,INR,2026-07-03 13:50:00,NEFT,REF00000226,FALSE
TX0227,P224,P232,20487,INR,2026-06-29 04:21:00,UPI,REF00000227,FALSE
TX0228,P376,P004,18821,INR,2026-03-24 17:29:00,UPI,REF00000228,FALSE
TX0229,P334,P231,13368,INR,2026-04-10 06:01:00,NEFT,REF00000229,FALSE
TX0230,P426,P021,11632,INR,2026-07-05 15:53:00,Bank Transfer,REF00000230,FALSE
TX0231,P165,P168,24023,INR,2026-01-03 19:58:00,UPI,REF00000231,FALSE
TX0232,P255,P463,5854,INR,2026-06-10 21:05:00,Bank Transfer,REF00000232,FALSE
TX0233,P233,P329,19995,INR,2026-06-11 04:17:00,Bank Transfer,REF00000233,FALSE
TX0234,P477,P372,5007,INR,2026-07-19 16:50:00,Bank Transfer,REF00000234,FALSE
TX0235,P290,P014,4360,INR,2026-07-19 05:00:00,Bank Transfer,REF00000235,FALSE
TX0236,P067,P006,12329,INR,2026-02-09 07:11:00,UPI,REF00000236,FALSE
TX0237,P385,P081,2571,INR,2026-03-12 08:53:00,NEFT,REF00000237,FALSE
TX0238,P015,P219,6904,INR,2026-05-20 13:46:00,UPI,REF00000238,FALSE
TX0239,P038,P454,20749,INR,2026-08-06 04:37:00,UPI,REF00000239,FALSE
TX0240,P187,P016,6357,INR,2026-04-21 06:20:00,UPI,REF00000240,FALSE
TX0241,P206,P162,2604,INR,2026-01-25 01:58:00,IMPS,REF00000241,FALSE
TX0242,P327,P366,9451,INR,2026-06-22 19:16:00,UPI,REF00000242,FALSE
TX0243,P369,P046,15602,INR,2026-01-18 20:22:00,IMPS,REF00000243,FALSE
TX0244,P140,P277,12022,INR,2026-06-10 04:11:00,IMPS,REF00000244,FALSE
TX0245,P468,P262,18723,INR,2026-05-28 15:39:00,Bank Transfer,REF00000245,FALSE
TX0246,P323,P337,3434,INR,2026-03-01 12:55:00,NEFT,REF00000246,FALSE
TX0247,P425,P029,15174,INR,2026-08-08 23:16:00,UPI,REF00000247,FALSE
TX0248,P158,P325,10257,INR,2026-07-17 17:01:00,UPI,REF00000248,FALSE
TX0249,P482,P127,18273,INR,2026-07-09 18:27:00,UPI,REF00000249,FALSE
