vehicle_id,plate_number,make_model,color,registered_owner,vehicle_type
V001,WB34FQ7642,Toyota Innova,Red,P086,Motorcycle
V002,WB93XV5644,Maruti Swift,Black,P010,SUV
V003,WB61PF4594,Honda City,Red,P311,Car
V004,WB75YF9369,Tata Nexon,Black,P407,Motorcycle
V005,WB44OT2127,Hyundai i20,Blue,P352,SUV
V006,WB14AG9564,Toyota Innova,Blue,P068,Car
V007,WB13FP1639,Toyota Innova,Red,P311,Car
V008,WB62VE9835,Maruti Swift,Blue,P048,Motorcycle
V009,WB48BW9680,Honda City,Black,P216,SUV
V010,WB99ML2600,Honda City,Black,P405,SUV
V011,WB99HC5641,Toyota Innova,Red,P245,SUV
V012,WB25AW1116,Toyota Innova,Red,P132,Car
V013,WB01MU4365,Tata Nexon,Blue,P267,SUV
V014,WB20NU5155,Tata Nexon,Red,P055,SUV
V015,WB47TI7511,Hyundai i20,Blue,P290,Motorcycle
V016,WB72PF7065,Toyota Innova,Red,P402,SUV
V017,WB40SL7522,Hyundai i20,White,P130,Motorcycle
V018,WB58ZW3650,Maruti Swift,Black,P118,Motorcycle
V019,WB44ZR1852,Hyundai i20,Blue,P206,Motorcycle
V020,WB12EP8133,Maruti Swift,White,P003,SUV
V021,WB48CT1618,Honda City,Blue,P114,Motorcycle
V022,WB67JW1941,Hyundai i20,Blue,P336,SUV
V023,WB26VZ9489,Tata Nexon,Black,P006,Car
V024,WB77QQ4795,Toyota Innova,Black,P402,Motorcycle
V025,WB47HU1004,Hyundai i20,White,P019,SUV
V026,WB52LV7474,Honda City,Red,P400,Car
V027,WB02XW2124,Maruti Swift,Red,P266,SUV
V028,WB72SL6693,Tata Nexon,Black,P372,Motorcycle
V029,WB25OM1076,Tata Nexon,Black,P494,SUV
V030,WB14RC9243,Tata Nexon,Silver,P260,Car
V031,WB66IR5098,Honda City,Blue,P412,Motorcycle
V032,WB99HY6565,Honda City,Blue,P248,Motorcycle
V033,WB04PD5224,Maruti Swift,Blue,P442,Motorcycle
V034,WB29VW4767,Tata Nexon,Blue,P404,SUV
V035,WB69AW5314,Hyundai i20,Silver,P265,Car
V036,WB87XK2245,Toyota Innova,Black,P205,SUV
V037,WB46GS5408,Hyundai i20,Black,P161,SUV
V038,WB26HX4965,Tata Nexon,Black,P378,Car
V039,WB32TL3555,Maruti Swift,White,P104,Car
V040,WB85PT1108,Toyota Innova,White,P347,SUV
V041,WB80KP5501,Honda City,Black,P191,Motorcycle
V042,WB51HY3101,Maruti Swift,Red,P144,SUV
V043,WB70BQ6689,Honda City,Black,P245,SUV
V044,WB16WQ8537,Tata Nexon,White,P500,Car
V045,WB27MS2650,Tata Nexon,Silver,P346,Motorcycle
V046,WB34FR5306,Hyundai i20,Silver,P442,SUV
V047,WB79KL4013,Honda City,Blue,P491,Car
V048,WB90YL6981,Honda City,Silver,P215,SUV
V049,WB74ES4744,Maruti Swift,Silver,P093,Car
V050,WB56MG3389,Hyundai i20,Blue,P285,Car
V051,WB54PE9470,Toyota Innova,Silver,P091,SUV
V052,WB33RS1781,Honda City,White,P154,Motorcycle
V053,WB08GI8807,Maruti Swift,Blue,P084,Motorcycle
V054,WB34LL5222,Tata Nexon,White,P172,SUV
V055,WB45VT4259,Toyota Innova,Red,P063,Motorcycle
V056,WB69FY5663,Tata Nexon,Silver,P333,Motorcycle
V057,WB63YX8322,Maruti Swift,Blue,P262,Motorcycle
V058,WB60UE3745,Tata Nexon,Blue,P147,Motorcycle
V059,WB74MC2296,Hyundai i20,Silver,P314,Car
V060,WB41UJ5382,Toyota Innova,Blue,P161,SUV
V061,WB57YL9535,Honda City,Blue,P455,Car
V062,WB03EX4844,Tata Nexon,White,P095,Car
V063,WB51DD2045,Honda City,Red,P086,Car
V064,WB99MQ2363,Maruti Swift,Silver,P014,Motorcycle
V065,WB11UM6068,Hyundai i20,Black,P080,Motorcycle
V066,WB57UE3150,Toyota Innova,Black,P146,Car
